Modelo,Otimizador,Fold,PrecisûÈo,RevocaûôÏûôÈo,F1-Score,mAP50,mAP50-95,Inf.(ms)
YOLOv11n-det,Adam,1,0.847,0.795,0.82,0.873,0.732,3.4
YOLOv11n-det,Adam,2,0.844,0.786,0.814,0.872,0.727,3
YOLOv11n-det,Adam,3,0.837,0.776,0.805,0.863,0.715,3
YOLOv11n-det,Adam,4,0.873,0.776,0.822,0.872,0.728,3.2
YOLOv11n-det,Adam,5,0.848,0.806,0.826,0.874,0.669,3.3
YOLOv11s-det,Adam,1,0.877,0.814,0.844,0.895,0.772,6.9
YOLOv11s-det,Adam,2,0.849,0.797,0.822,0.883,0.738,6.5
YOLOv11s-det,Adam,3,0.899,0.817,0.856,0.903,0.73,6.4
YOLOv11s-det,Adam,4,0.897,0.814,0.853,0.907,0.776,6.9
YOLOv11s-det,Adam,5,0.867,0.81,0.838,0.892,0.755,6.6
YOLOv11m-det,Adam,1,0.872,0.808,0.839,0.899,0.775,16.2
YOLOv11m-det,Adam,2,0.874,0.83,0.851,0.904,0.787,16.2
YOLOv11m-det,Adam,3,0.883,0.802,0.841,0.901,0.779,16.1
YOLOv11m-det,Adam,4,0.9,0.823,0.86,0.911,0.793,16.2
YOLOv11m-det,Adam,5,0.88,0.839,0.859,0.908,0.797,16.1
YOLOv26n-det,Adam,1,0.799,0.781,0.79,0.85,0.709,3.6
YOLOv26n-det,Adam,2,0.787,0.761,0.774,0.838,0.703,3
YOLOv26n-det,Adam,3,0.813,0.737,0.773,0.835,0.694,3.7
YOLOv26n-det,Adam,4,0.818,0.744,0.779,0.842,0.697,3.7
YOLOv26n-det,Adam,5,0.813,0.747,0.779,0.835,0.686,3.8
YOLOv26n-det,MuSGD,1,0.792,0.714,0.751,0.797,0.658,4.5
YOLOv26n-det,MuSGD,2,0.782,0.714,0.746,0.802,0.663,3.9
YOLOv26n-det,MuSGD,3,0.754,0.716,0.735,0.743,0.589,3.3
YOLOv26n-det,MuSGD,4,0.757,0.731,0.744,0.803,0.661,3
YOLOv26n-det,MuSGD,5,0.726,0.726,0.726,0.807,0.663,3.4
YOLOv26s-det,Adam,1,0.856,0.806,0.83,0.885,0.765,7
YOLOv26s-det,Adam,2,0.848,0.815,0.831,0.889,0.757,6.9
YOLOv26s-det,Adam,3,0.826,0.836,0.831,0.892,0.765,7
YOLOv26s-det,Adam,4,0.857,0.812,0.834,0.892,0.765,6.9
YOLOv26s-det,Adam,5,0.814,0.815,0.814,0.875,0.752,7.9
YOLOv26s-det,MuSGD,1,0.844,0.789,0.816,0.884,0.771,5.9
YOLOv26s-det,MuSGD,2,0.855,0.808,0.831,0.893,0.777,6.9
YOLOv26s-det,MuSGD,3,0.849,0.805,0.826,0.892,0.779,7.5
YOLOv26s-det,MuSGD,4,0.859,0.795,0.826,0.892,0.779,6.8
YOLOv26s-det,MuSGD,5,0.834,0.802,0.818,0.88,0.767,6.8
YOLOv26m-det,Adam,1,0.86,0.84,0.85,0.906,0.804,14.4
YOLOv26m-det,Adam,2,0.862,0.796,0.828,0.885,0.767,16.5
YOLOv26m-det,Adam,3,0.889,0.835,0.861,0.911,0.808,16.8
YOLOv26m-det,Adam,4,0.871,0.854,0.862,0.912,0.801,16.4
YOLOv26m-det,Adam,5,0.859,0.836,0.847,0.895,0.778,16.5
YOLOv26m-det,MuSGD,1,0.853,0.829,0.841,0.904,0.815,17
YOLOv26m-det,MuSGD,2,0.88,0.823,0.851,0.912,0.817,16.4
YOLOv26m-det,MuSGD,3,0.866,0.808,0.836,0.902,0.81,16.8
YOLOv26m-det,MuSGD,4,0.875,0.823,0.848,0.912,0.821,16.4
YOLOv26m-det,MuSGD,5,0.899,0.807,0.851,0.911,0.817,16.3